

 ********* 2018-05-06 18:50:41 Duration: 00:00:15 *********
---------- SCRIPT CALLS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
         4          30         230          20        150  . . . . . . . . . . $g$checkCommunityPO
         2          14         212           9        150  . . . . . . . . . . . $g$communityPO_isValid
         2          15          29          10        151  . . . . . . . . . . cwt_do.getClsCatalogTypes
         2          15         109          10        151  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addParent2ChildIncludeRelation
         1           8          60           4        151  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getBasketContext
         0          20          85          14         46  . . . . . . . . . . $g$checkAddonPO
         0           3          10           2        151  . . . . . . . . . . cwt_do.getEocRelationsHandling
         0         246         246         246          1  . . . . . . . . . . $g$checkBasicPO
         0         116         116         116          1  . . . . . . . . . . . $g$isBasicPO
         0           1          13           1        104  . . . . . . . . . . $g$checkOptionalPO
         0           3           7           1        151  . . . . . . . . . eoc_commons.isFault
         3          23         185          18        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectById
         2          14         164          10        151  . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectByGUID
         0           1           2           1        151  . . . . . . . . cwt_do.Constants
        23         155       2,408         103        151  . . . . . . . cwt_do.getCatalogHelper
        19         126       2,380          78        151  . . . . . . . . cwt_do.getClsInterface
         1          11         112           9        151  . . . . . . . cwt_do.api.orderClassUI.getAccount
         0           2          19           2        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAccounts
         1           8          78           6        151  . . . . . . . cwt_do.api.orderClassUI.getSite
         0           2          18           1        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSites
       324       2,147      47,751       1,205        151  . . . . . . cwt_do.api.orderClassUI.mapBasketItemDoc2OrderItem
       109         726       7,537         173        151  . . . . . . . cwt_do.api.orderClassUI.findBasketItemCharges
        64         156       1,733          21        414  . . . . . . . . cwt_do.copyChargeAttributes
         0           0           0           0      3,149  . . . . . . . . . com.conceptwave.system.DataStructure.onInit
        10          25          69          15        414  . . . . . . . . cwt_do.api.orderClassUI.setNameAndDescription
         3           7          17           5        414  . . . . . . . . cwt_do.api.orderClassUI.setExternalIDs
         1           2           9           1        414  . . . . . . . . cwt_do.api.orderClassUI.setType
         0           0           1           0        414  . . . . . . . . com.conceptwave.system.DataStructure.onInit
       109         726      45,902         355        151  . . . . . . . cwt_do.api.orderClassUI.findBasketItemCharacteristics
         0           0           0           0      1,672  . . . . . . . . com.conceptwave.system.DataStructure.onInit
        29         196         292         170        151  . . . . . . . cwt_do.api.orderClassUI.findBasketItemRelations
        10          70         123          61        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getTargetRelationsForItem
         4          32          86          27        151  . . . . . . . . . cwt_do.fixItemRelationId
         1           6           9           6        151  . . . . . . . . . cwt_do.getEocRelationsHandling
         4          32         100          25        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSourceRelationsForItem
         1           9          24           7        151  . . . . . . . . . cwt_do.fixItemRelationId
         0           1          10           1        151  . . . . . . . . . cwt_do.getEocRelationsHandling
         2           9          63           3        301  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectById
         0           0           0           0        301  . . . . . . . . com.conceptwave.system.DataStructure.onInit
         5          37         134          28        151  . . . . . . . eoc_commons.getBaseCatalogItemType
         0           5           8           4        151  . . . . . . . . eoc_commons.Constants
         5          37          53          33        151  . . . . . . . cwt_do.api.orderClassUI.findRelatedObjectsBySource
         4          31          56          27        151  . . . . . . . cwt_do.api.orderClassUI.mapPOOIDocNotesToOrderItem
         2          16         109          10        151  . . . . . . . cwt_do.getClsCatalogTypes
         0           6          10           5        151  . . . . . . . cwt_do.api.mapBasketItemDoc2OrderItem.units--412012054.cwOnItemConversion
         0           3           5           2        151  . . . . . . . cwt_do.api.mapBasketItemDoc2OrderItem.amount--269981095.cwOnItemConversion
         0           2           9           1        151  . . . . . . . eoc_commons.checkBaseCatalogItemType
         0           0           1           0        453  . . . . . . . com.conceptwave.system.DataStructure.onInit
       110         142         735          85        775  . . . . . . cwt_do.setInitialState
        46          60         611          32        775  . . . . . . . cwt_do.getInitialState
        16          21         571           9        775  . . . . . . . . cwt_do.getClsCatalogTypes
        11          14          44           8        775  . . . . . . . . cwt_do.doCatalogTypeConfig.isProduct
         4           6          24           3        775  . . . . . . . . . cwt_do.doCatalogTypeConfig.getProductTypes
         3           3          22           2        775  . . . . . . . . . cwt_dict.isOneOf
         9           7          26           4      1,247  . . . . . . . . cwt_do.doCatalogTypeConfig.isService
         4           3          17           1      1,247  . . . . . . . . . cwt_do.doCatalogTypeConfig.getServiceTypes
         1           1          10           0      1,247  . . . . . . . . . cwt_dict.isOneOf
         2          18         204          11        153  . . . . . . . . cwt_do.doCatalogTypeConfig.isResource
         1           7          99           4        153  . . . . . . . . . cwt_do.doCatalogTypeConfig.getResourceTypes
         0           1           4           1        153  . . . . . . . . . cwt_dict.isOneOf
        36          46         357          26        775  . . . . . . . eoc_commons.getBaseCatalogItemType
         5           7          24           4        775  . . . . . . . . eoc_commons.Constants
         1           1           8           0        775  . . . . . . . cwt_do.Constants
        16         107         386          84        151  . . . . . . dataorder.service.afterAddOrderItem
        13          88         362          68        151  . . . . . . . cwl_fullStack.afterAddItemHandler
         9          65         173          50        151  . . . . . . cwt_do.api.orderClassUI.setPOOINotes
         0           0           0           0        151  . . . . . . . com.conceptwave.system.DataStructure.onInit
         7          24         103           3        302  . . . . . . cwt_do.api.orderClassUI.getAccountId
         1           9          61           5        151  . . . . . . . cwt_do.api.orderClassUI.getAccount
         0           1          17           0        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAccounts
         7          46          77          38        151  . . . . . . dataorder.service.beforeAddOrderItem
         5          34          65          29        151  . . . . . . . cwt_do.api.beforeAddItemHandler
         5          18         249           2        302  . . . . . . cwt_do.api.orderClassUI.getSiteId
         1           7          34           4        151  . . . . . . . cwt_do.api.orderClassUI.getSite
         0           1          10           0        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSites
         4          27          37          22        151  . . . . . . cwt_do.api.orderClassUI.validateAndSetProductCharacteristics
         2          15         131          10        151  . . . . . . cwt_do.api.orderClassUI.persistOrderItemRelatedObjects
         2           7         143           2        302  . . . . . . cwt_do.api.orderClassUI.getDefaultCustomerId
         1           8          39           5        151  . . . . . . cwt_do.api.orderClassUI.updateProductPrice
         1           7          51           4        151  . . . . . . cwt_do.api.orderClassUI.getRootProductOffering
